Title,Released,Season,Episode,imdbRating,imdbID,Show
Welcome to the Playground,2021-11-06,1,1,8.8,tt14586040,Arcane
Some Mysteries Are Better Left Unsolved,2021-11-06,1,2,9,tt15496380,Arcane
The Base Violence Necessary for Change,2021-11-06,1,3,9.8,tt15496376,Arcane
Happy Progress Day!,2021-11-13,1,4,9.1,tt15496390,Arcane
Everybody Wants to Be My Enemy,2021-11-13,1,5,9.3,tt15496392,Arcane
When These Walls Come Tumbling Down,2021-11-13,1,6,9.6,tt15496430,Arcane
The Boy Savior,2021-11-20,1,7,9.5,tt15496436,Arcane
Oil and Water,2021-11-20,1,8,9.6,tt15496432,Arcane
The Monster You Created,2021-11-20,1,9,9.8,tt15496440,Arcane
