Title,Released,Season,Episode,imdbRating,imdbID,Show
The Invisible Enemy: Part One,1977-10-01,15,5,7.4,tt0562924,Classic Doctor Who
The Invisible Enemy: Part Two,1977-10-08,15,6,7,tt0811702,Classic Doctor Who
The Invisible Enemy: Part Three,1977-10-15,15,7,7.2,tt0811703,Classic Doctor Who
The Invisible Enemy: Part Four,1977-10-22,15,8,6.8,tt0811704,Classic Doctor Who
Image of the Fendahl: Part One,1977-10-29,15,9,7.6,tt0562853,Classic Doctor Who
Image of the Fendahl: Part Two,1977-11-05,15,10,7.7,tt0811799,Classic Doctor Who
Image of the Fendahl: Part Three,1977-11-12,15,11,7.7,tt0811800,Classic Doctor Who
Image of the Fendahl: Part Four,1977-11-19,15,12,7.6,tt0811801,Classic Doctor Who
The Sun Makers: Part One,1977-11-26,15,13,7.7,tt0562960,Classic Doctor Who
The Sun Makers: Part Two,1977-12-03,15,14,7.8,tt0811739,Classic Doctor Who
The Sun Makers: Part Three,1977-12-10,15,15,7.7,tt0811740,Classic Doctor Who
The Sun Makers: Part Four,1977-12-17,15,16,7.8,tt0811741,Classic Doctor Who
Underworld: Part One,1978-01-07,15,17,6.4,tt0562981,Classic Doctor Who
Underworld: Part Two,1978-01-14,15,18,5.8,tt0811763,Classic Doctor Who
Underworld: Part Three,1978-01-21,15,19,5.8,tt0811764,Classic Doctor Who
Underworld: Part Four,1978-01-28,15,20,6.2,tt0811765,Classic Doctor Who
The Invasion of Time: Part One,1978-02-04,15,21,7.9,tt0562923,Classic Doctor Who
The Invasion of Time: Part Two,1978-02-11,15,22,7.5,tt0811697,Classic Doctor Who
The Invasion of Time: Part Three,1978-02-18,15,23,7.8,tt0811698,Classic Doctor Who
The Invasion of Time: Part Four,1978-02-25,15,24,7.6,tt0811699,Classic Doctor Who
The Invasion of Time: Part Five,1978-03-04,15,25,7.5,tt0811700,Classic Doctor Who
The Invasion of Time: Part Six,1978-03-11,15,26,7.4,tt0811701,Classic Doctor Who
The Ribos Operation: Part One,1978-09-02,16,1,7.6,tt0562946,Classic Doctor Who
The Ribos Operation: Part Two,1978-09-09,16,2,7.7,tt0811725,Classic Doctor Who
The Ribos Operation: Part Three,1978-09-16,16,3,7.5,tt0811726,Classic Doctor Who
The Ribos Operation: Part Four,1978-09-23,16,4,7.8,tt0811727,Classic Doctor Who
The Pirate Planet: Part One,1978-09-30,16,5,7.7,tt0562941,Classic Doctor Who
The Pirate Planet: Part Two,1978-10-07,16,6,8.1,tt0811719,Classic Doctor Who
The Pirate Planet: Part Three,1978-10-14,16,7,7.9,tt0811720,Classic Doctor Who
The Pirate Planet: Part Four,1978-10-21,16,8,8,tt0811721,Classic Doctor Who
The Stones of Blood: Part One,1978-10-28,16,9,7.6,tt0562959,Classic Doctor Who
The Stones of Blood: Part Two,1978-11-04,16,10,8,tt0811736,Classic Doctor Who
The Stones of Blood: Part Three,1978-11-11,16,11,7.7,tt0811737,Classic Doctor Who
The Stones of Blood: Part Four,1978-11-18,16,12,7.7,tt0811738,Classic Doctor Who
The Androids of Tara: Part One,1978-11-25,16,13,7.5,tt0562889,Classic Doctor Who
The Androids of Tara: Part Two,1978-12-02,16,14,7.5,tt0811859,Classic Doctor Who
The Androids of Tara: Part Three,1978-12-09,16,15,7.5,tt0811860,Classic Doctor Who
The Androids of Tara: Part Four,1978-12-16,16,16,7.6,tt0811861,Classic Doctor Who
The Power of Kroll: Part One,1978-12-23,16,17,6.6,tt0562942,Classic Doctor Who
The Power of Kroll: Part Two,1978-12-30,16,18,7,tt0811722,Classic Doctor Who
The Power of Kroll: Part Three,1979-01-06,16,19,6.8,tt0811723,Classic Doctor Who
The Power of Kroll: Part Four,1979-01-13,16,20,6.7,tt0811724,Classic Doctor Who
The Armageddon Factor: Part One,1979-01-20,16,21,7.2,tt0562892,Classic Doctor Who
The Armageddon Factor: Part Two,1979-01-27,16,22,7.1,tt0811862,Classic Doctor Who
The Armageddon Factor: Part Three,1979-02-03,16,23,7.4,tt0811863,Classic Doctor Who
The Armageddon Factor: Part Four,1979-02-10,16,24,7,tt0811864,Classic Doctor Who
The Armageddon Factor: Part Five,1979-02-17,16,25,7.4,tt0811865,Classic Doctor Who
The Armageddon Factor: Part Six,1979-02-24,16,26,7.3,tt0811866,Classic Doctor Who
Destiny Of The Daleks Episode One,1979-09-01,17,1,7.4,tt0562840,Classic Doctor Who
Destiny of the Daleks: Episode Two,1979-09-08,17,2,7.7,tt0811667,Classic Doctor Who
Destiny of the Daleks: Episode Three,1979-09-15,17,3,7.7,tt0811668,Classic Doctor Who
Destiny of the Daleks: Episode Four,1979-09-22,17,4,7.5,tt0811669,Classic Doctor Who
City of Death: Part One,1979-09-29,17,5,8.9,tt0562835,Classic Doctor Who
City of Death: Part Two,1979-10-06,17,6,8.8,tt0811662,Classic Doctor Who
City of Death: Part Three,1979-10-13,17,7,8.7,tt0811663,Classic Doctor Who
City of Death: Part Four,1979-10-20,17,8,8.8,tt0811664,Classic Doctor Who
The Creature from the Pit: Part Two,1979-10-27,17,9,6.9,tt0562900,Classic Doctor Who
The Creature from the Pit: Part Two,1979-11-03,17,10,6.6,tt0811874,Classic Doctor Who
The Creature from the Pit: Part Three,1979-11-10,17,11,7,tt0811875,Classic Doctor Who
The Creature from the Pit: Part Four,1979-11-17,17,12,7.1,tt0811876,Classic Doctor Who
Nightmare of Eden: Part Two,1979-11-24,17,13,7.1,tt0562863,Classic Doctor Who
Nightmare of Eden: Part Two,1979-12-01,17,14,7,tt0811817,Classic Doctor Who
Nightmare of Eden: Part Three,1979-12-08,17,15,7.4,tt0811818,Classic Doctor Who
Nightmare of Eden: Part Four,1979-12-15,17,16,7.3,tt0811819,Classic Doctor Who
The Horns of Nimon: Part One,1979-12-22,17,17,6.5,tt0562920,Classic Doctor Who
The Horns of Nimon: Part Two,1979-12-29,17,18,6.5,tt0811694,Classic Doctor Who
The Horns of Nimon: Part Three,1980-01-05,17,19,5.8,tt0811695,Classic Doctor Who
The Horns of Nimon: Part Four,1980-01-12,17,20,6.2,tt0811696,Classic Doctor Who
The Leisure Hive: Part One,1980-08-30,18,1,6.5,tt0562929,Classic Doctor Who
The Leisure Hive: Part Two,1980-09-06,18,2,6.5,tt0811709,Classic Doctor Who
The Leisure Hive: Part Three,1980-09-13,18,3,6.6,tt0811710,Classic Doctor Who
The Leisure Hive: Part Four,1980-09-20,18,4,6.4,tt0811711,Classic Doctor Who
Meglos: Part One,1980-09-27,18,5,6.4,tt0562860,Classic Doctor Who
Meglos: Part Two,1980-10-04,18,6,6.4,tt0811811,Classic Doctor Who
Meglos: Part Three,1980-10-11,18,7,6.1,tt0811812,Classic Doctor Who
Meglos: Part Four,1980-10-18,18,8,6.2,tt0811813,Classic Doctor Who
Full Circle: Part One,1980-10-25,18,9,7.3,tt0562847,Classic Doctor Who
Full Circle: Part Two,1980-11-01,18,10,7.5,tt0811684,Classic Doctor Who
Full Circle: Part Three,1980-11-08,18,11,7.2,tt0811685,Classic Doctor Who
Full Circle: Part Four,1980-11-15,18,12,7.5,tt0811686,Classic Doctor Who
State of Decay: Part One,1980-11-22,18,13,7.6,tt0562880,Classic Doctor Who
State of Decay: Part Two,1980-11-29,18,14,7.8,tt0811842,Classic Doctor Who
State of Decay: Part Three,1980-12-06,18,15,7.8,tt0811843,Classic Doctor Who
State of Decay: Part Four,1980-12-13,18,16,7.6,tt0811844,Classic Doctor Who
Warriors' Gate: Part One,1981-01-03,18,17,7.6,tt0562984,Classic Doctor Who
Warriors' Gate: Part Two,1981-01-10,18,18,7.5,tt0811770,Classic Doctor Who
Warriors' Gate: Part Three,1981-01-17,18,19,7.4,tt0811771,Classic Doctor Who
Warriors' Gate: Part Four,1981-01-24,18,20,7.5,tt0811772,Classic Doctor Who
The Keeper of Traken: Part One,1981-01-31,18,21,7.9,tt0562925,Classic Doctor Who
The Keeper of Traken: Part Two,1981-02-07,18,22,7.9,tt0811705,Classic Doctor Who
The Keeper of Traken: Part Three,1981-02-14,18,23,7.8,tt0811706,Classic Doctor Who
The Keeper of Traken: Part Four,1981-02-21,18,24,8,tt0811707,Classic Doctor Who
Logopolis: Part One,1981-02-28,18,25,7.9,tt0562857,Classic Doctor Who
Logopolis: Part Two,1981-03-07,18,26,7.7,tt0811805,Classic Doctor Who
Logopolis: Part Three,1981-03-14,18,27,7.9,tt0811806,Classic Doctor Who
Logopolis: Part Four,1981-03-21,18,28,8.1,tt0811807,Classic Doctor Who
Castrovalva: Part One,1982-01-04,19,1,7.3,tt0562834,Classic Doctor Who
Castrovalva: Part Two,1982-01-05,19,2,7,tt0811659,Classic Doctor Who
Castrovalva: Part Three,1982-01-11,19,3,7.5,tt0811660,Classic Doctor Who
Castrovalva: Part Four,1982-01-12,19,4,7.3,tt0811661,Classic Doctor Who
Four to Doomsday: Part One,1982-01-18,19,5,6.8,tt0562844,Classic Doctor Who
Four to Doomsday: Part Two,1982-01-19,19,6,6.7,tt0811678,Classic Doctor Who
Four to Doomsday: Part Three,1982-01-25,19,7,6.7,tt0811679,Classic Doctor Who
Four to Doomsday: Part Four,1982-01-26,19,8,6.6,tt0811680,Classic Doctor Who
Kinda: Part One,1982-02-01,19,9,7.5,tt0562856,Classic Doctor Who
Kinda: Part Two,1982-02-02,19,10,7.7,tt0811802,Classic Doctor Who
Kinda: Part Three,1982-02-08,19,11,7.7,tt0811803,Classic Doctor Who
Kinda: Part Four,1982-02-09,19,12,7.6,tt0811804,Classic Doctor Who
The Visitation: Part One,1982-02-15,19,13,7.9,tt0562972,Classic Doctor Who
The Visitation: Part Two,1982-02-16,19,14,7.5,tt0811753,Classic Doctor Who
The Visitation: Part Three,1982-02-22,19,15,7.5,tt0811754,Classic Doctor Who
The Visitation: Part Four,1982-02-23,19,16,7.5,tt0811755,Classic Doctor Who
Black Orchid: Part One,1982-03-01,19,17,7.2,tt0562832,Classic Doctor Who
Black Orchid: Part Two,1982-03-02,19,18,7.4,tt0811658,Classic Doctor Who
Earthshock: Part One,1982-03-08,19,19,8.4,tt0562842,Classic Doctor Who
Earthshock: Part Two,1982-03-09,19,20,8.3,tt0811672,Classic Doctor Who
Earthshock: Part Three,1982-03-15,19,21,8.4,tt0811673,Classic Doctor Who
Earthshock: Part Four,1982-03-16,19,22,8.8,tt0811674,Classic Doctor Who
Time-Flight: Part One,1982-03-22,19,23,6.1,tt0562979,Classic Doctor Who
Time-Flight: Part Two,1982-03-23,19,24,6.5,tt0811759,Classic Doctor Who
Time-Flight: Part Three,1982-03-29,19,25,6.2,tt0811760,Classic Doctor Who
Time-Flight: Part Four,1982-03-30,19,26,6.1,tt0811761,Classic Doctor Who
Arc of Infinity: Part One,1983-01-03,20,1,6.8,tt0562829,Classic Doctor Who
Arc of Infinity: Part Two,1983-01-05,20,2,6.9,tt0811651,Classic Doctor Who
Arc of Infinity: Part Three,1983-01-11,20,3,7.4,tt0811652,Classic Doctor Who
Arc of Infinity: Part Four,1983-01-12,20,4,6.9,tt0811653,Classic Doctor Who
Snakedance: Part One,1983-01-18,20,5,7,tt0562878,Classic Doctor Who
Snakedance: Part Two,1983-01-19,20,6,7.1,tt0811839,Classic Doctor Who
Snakedance: Part Three,1983-01-25,20,7,7.5,tt0811840,Classic Doctor Who
Snakedance: Part Four,1983-01-26,20,8,7,tt0811841,Classic Doctor Who
Mawdryn Undead: Part One,1983-02-01,20,9,7.6,tt0562859,Classic Doctor Who
Mawdryn Undead: Part Two,1983-02-02,20,10,8,tt0811808,Classic Doctor Who
Mawdryn Undead: Part Three,1983-02-08,20,11,7.7,tt0811809,Classic Doctor Who
Mawdryn Undead: Part Four,1983-02-09,20,12,7.8,tt0811810,Classic Doctor Who
Terminus: Part One,1983-02-15,20,13,6.4,tt0562882,Classic Doctor Who
Terminus: Part Two,1983-02-16,20,14,6.3,tt0811847,Classic Doctor Who
Terminus: Part Three,1983-02-22,20,15,6.6,tt0811848,Classic Doctor Who
Terminus: Part Four,1983-02-23,20,16,6.6,tt0811849,Classic Doctor Who
Enlightenment: Part One,1983-03-01,20,17,7.9,tt0562843,Classic Doctor Who
Enlightenment: Part Two,1983-03-02,20,18,8,tt0811675,Classic Doctor Who
Enlightenment: Part Three,1983-03-08,20,19,8,tt0811676,Classic Doctor Who
Enlightenment: Part Four,1983-03-09,20,20,8,tt0811677,Classic Doctor Who
The King's Demons: Part One,1983-03-15,20,21,6.5,tt0562927,Classic Doctor Who
The King's Demons: Part Two,1983-03-16,20,22,6.7,tt0811708,Classic Doctor Who
The Five Doctors,1983-11-25,20,23,8.2,tt0123044,Classic Doctor Who
Warriors of the Deep: Part One,1984-01-05,21,1,6.3,tt0562983,Classic Doctor Who
Warriors of the Deep: Part Two,1984-01-06,21,2,6.6,tt0811767,Classic Doctor Who
Warriors of the Deep: Part Three,1984-01-12,21,3,6.7,tt0811768,Classic Doctor Who
Warriors of the Deep: Part Four,1984-01-13,21,4,6.4,tt0811769,Classic Doctor Who
The Awakening: Part One,1984-01-19,21,5,7.1,tt0562893,Classic Doctor Who
The Awakening: Part Two,1984-01-20,21,6,7,tt0811867,Classic Doctor Who
Frontios: Part One,1984-01-26,21,7,7.4,tt0562846,Classic Doctor Who
Frontios: Part Two,1984-01-27,21,8,7.1,tt0811681,Classic Doctor Who
Frontios: Part Three,1984-02-02,21,9,7.1,tt0811682,Classic Doctor Who
Frontios: Part Four,1984-02-03,21,10,7.2,tt0811683,Classic Doctor Who
Resurrection of the Daleks: Part One,1984-02-08,21,11,7.8,tt0562872,Classic Doctor Who
Resurrection of the Daleks: Part Two,1984-02-15,21,12,7.9,tt0811835,Classic Doctor Who
Planet of Fire: Part One,1984-02-23,21,13,7.3,tt0562866,Classic Doctor Who
Planet of Fire: Part Two,1984-02-24,21,14,7.6,tt0811826,Classic Doctor Who
Planet of Fire: Part Three,1984-03-01,21,15,7.4,tt0811827,Classic Doctor Who
Planet of Fire: Part Four,1984-03-02,21,16,7.4,tt0811828,Classic Doctor Who
The Caves of Androzani: Part One,1984-03-08,21,17,8.6,tt0562896,Classic Doctor Who
The Caves of Androzani: Part Two,1984-03-09,21,18,8.6,tt0811871,Classic Doctor Who
The Caves of Androzani: Part Three,1984-03-15,21,19,8.7,tt0811872,Classic Doctor Who
The Caves of Androzani: Part Four,1984-03-16,21,20,9.1,tt0811873,Classic Doctor Who
The Twin Dilemma: Part One,1984-03-22,21,21,5.1,tt0562968,Classic Doctor Who
The Twin Dilemma: Part Two,1984-03-23,21,22,5.2,tt0811747,Classic Doctor Who
The Twin Dilemma: Part Three,1984-03-29,21,23,5.7,tt0811748,Classic Doctor Who
The Twin Dilemma: Part Four,1984-03-30,21,24,5.8,tt0811749,Classic Doctor Who
Attack of the Cybermen: Part One,1985-01-05,22,1,6.9,tt0562830,Classic Doctor Who
Attack of the Cybermen: Part Two,1985-01-12,22,2,6.8,tt0811654,Classic Doctor Who
Vengeance on Varos: Part One,1985-01-19,22,3,7.7,tt0562982,Classic Doctor Who
Vengeance on Varos: Part Two,1985-01-26,22,4,7.5,tt0811766,Classic Doctor Who
The Mark of the Rani: Part One,1985-02-02,22,5,6.9,tt0562931,Classic Doctor Who
The Mark of the Rani: Part Two,1985-02-09,22,6,6.7,tt0811712,Classic Doctor Who
The Two Doctors: Part One,1985-02-16,22,7,7.5,tt0562969,Classic Doctor Who
The Two Doctors: Part Two,1985-02-23,22,8,7.5,tt0811750,Classic Doctor Who
The Two Doctors: Part Three,1985-03-02,22,9,7.4,tt0811751,Classic Doctor Who
Timelash: Part One,1985-03-09,22,10,5.5,tt0562980,Classic Doctor Who
Timelash: Part Two,1985-03-16,22,11,5.2,tt0811762,Classic Doctor Who
Revelation of the Daleks: Part One,1985-03-23,22,12,7.7,tt0562873,Classic Doctor Who
Revelation of the Daleks: Part Two,1985-03-30,22,13,7.9,tt0811836,Classic Doctor Who
The Trial of a Time Lord: Part One,1986-09-06,23,1,7.2,tt0562939,Classic Doctor Who
The Trial of a Time Lord: Part Two,1986-09-13,23,2,6.8,tt0811716,Classic Doctor Who
The Trial of a Time Lord: Part Three,1986-09-20,23,3,6.9,tt0811717,Classic Doctor Who
The Trial of a Time Lord: Part Four,1986-09-27,23,4,6.7,tt0811718,Classic Doctor Who
The Trial of a Time Lord: Part Five,1986-10-04,23,5,7.1,tt0562861,Classic Doctor Who
The Trial of a Time Lord: Part Six,1986-10-11,23,6,7.5,tt0811814,Classic Doctor Who
The Trial of a Time Lord: Part Seven,1986-10-18,23,7,6.9,tt0811815,Classic Doctor Who
The Trial of a Time Lord: Part Eight,1986-10-25,23,8,7.5,tt0811816,Classic Doctor Who
The Trial of a Time Lord: Part Nine,1986-11-01,23,9,6.9,tt0562884,Classic Doctor Who
The Trial of a Time Lord: Part Ten,1986-11-08,23,10,7.2,tt0811850,Classic Doctor Who
The Trial of a Time Lord: Part Eleven,1986-11-15,23,11,7,tt0811851,Classic Doctor Who
The Trial of a Time Lord: Part Twelve,1986-11-22,23,12,7.2,tt0811852,Classic Doctor Who
The Trial of a Time Lord: Part Thirteen,1986-11-29,23,13,7.5,tt0562970,Classic Doctor Who
The Trial of a Time Lord: Part Fourteen,1986-12-06,23,14,6.8,tt0811752,Classic Doctor Who
Time and the Rani: Part One,1987-09-07,24,1,4.9,tt0562978,Classic Doctor Who
Time and the Rani: Part Two,1987-09-14,24,2,4.7,tt0811756,Classic Doctor Who
Time and the Rani: Part Three,1987-09-21,24,3,4.6,tt0811757,Classic Doctor Who
Time and the Rani: Part Four,1987-09-28,24,4,5,tt0811758,Classic Doctor Who
Paradise Towers: Part One,1987-10-05,24,5,6.3,tt0562864,Classic Doctor Who
Paradise Towers: Part Two,1987-10-12,24,6,6.1,tt0811820,Classic Doctor Who
Paradise Towers: Part Three,1987-10-19,24,7,6.4,tt0811821,Classic Doctor Who
Paradise Towers: Part Four,1987-10-26,24,8,6.1,tt0811822,Classic Doctor Who
Delta and the Bannermen: Part One,1987-11-02,24,9,5.9,tt0562839,Classic Doctor Who
Delta and the Bannermen: Part Two,1987-11-09,24,10,5.8,tt0811665,Classic Doctor Who
Delta and the Bannermen: Part Three,1987-11-16,24,11,5.9,tt0811666,Classic Doctor Who
Dragonfire: Part One,1987-11-23,24,12,6.4,tt0562841,Classic Doctor Who
Dragonfire: Part Two,1987-11-30,24,13,6.4,tt0811670,Classic Doctor Who
Dragonfire: Part Three,1987-12-07,24,14,6.5,tt0811671,Classic Doctor Who
Remembrance of the Daleks: Part One,1988-10-05,25,1,8.6,tt0562871,Classic Doctor Who
Remembrance of the Daleks: Part Two,1988-10-12,25,2,8.4,tt0811832,Classic Doctor Who
Remembrance of the Daleks: Part Three,1988-10-19,25,3,8.6,tt0811833,Classic Doctor Who
Remembrance of the Daleks: Part Four,1988-10-26,25,4,8.7,tt0811834,Classic Doctor Who
The Happiness Patrol: Part One,1988-11-02,25,5,6.9,tt0562918,Classic Doctor Who
The Happiness Patrol: Part Two,1988-11-09,25,6,6.4,tt0811692,Classic Doctor Who
The Happiness Patrol: Part Three,1988-11-16,25,7,6.9,tt0811693,Classic Doctor Who
Silver Nemesis: Part One,1988-11-23,25,8,6.6,tt0562877,Classic Doctor Who
Silver Nemesis: Part Two,1988-11-30,25,9,6.5,tt0811837,Classic Doctor Who
Silver Nemesis: Part Three,1988-12-07,25,10,6.3,tt0811838,Classic Doctor Who
The Greatest Show in the Galaxy: Part One,1988-12-14,25,11,7.5,tt0562914,Classic Doctor Who
The Greatest Show in the Galaxy: Part Two,1988-12-21,25,12,7.1,tt0811886,Classic Doctor Who
The Greatest Show in the Galaxy: Part Three,1988-12-28,25,13,7,tt0811887,Classic Doctor Who
The Greatest Show in the Galaxy: Part Four,1989-01-04,25,14,7.4,tt0811888,Classic Doctor Who
Battlefield: Part One,1989-09-06,26,1,7.4,tt0562831,Classic Doctor Who
Battlefield: Part Two,1989-09-13,26,2,7.4,tt0811655,Classic Doctor Who
Battlefield: Part Three,1989-09-20,26,3,7.4,tt0811656,Classic Doctor Who
Battlefield: Part Four,1989-09-27,26,4,7.5,tt0811657,Classic Doctor Who
Ghost Light: Part One,1989-10-04,26,5,7.5,tt0562851,Classic Doctor Who
Ghost Light: Part Two,1989-10-11,26,6,7.1,tt0811687,Classic Doctor Who
Ghost Light: Part Three,1989-10-18,26,7,7.4,tt0811688,Classic Doctor Who
The Curse of Fenric: Part One,1989-10-25,26,8,8.3,tt0562902,Classic Doctor Who
The Curse of Fenric: Part Two,1989-11-01,26,9,8.3,tt0811877,Classic Doctor Who
The Curse of Fenric: Part Three,1989-11-08,26,10,8.4,tt0811878,Classic Doctor Who
The Curse of Fenric: Part Four,1989-11-15,26,11,8.2,tt0811879,Classic Doctor Who
Survival: Part One,1989-11-22,26,12,7.7,tt0562881,Classic Doctor Who
Survival: Part Two,1989-11-29,26,13,7.6,tt0811845,Classic Doctor Who
Survival: Part Three,1989-12-06,26,14,7.8,tt0811846,Classic Doctor Who
