Title,Released,imdbRating,imdbID,Downloaded?
Finding Frances,2017-11-09,9.6,tt7277634,
The Shawshank Redemption,1994-09-10,9.3,tt0111161,Y
The Godfather,1972-03-14,9.2,tt0068646,Y
12 Angry Men,-04-10,9,tt0050083,
The Godfather: Part II,1974-12-12,9,tt0071562,C
The Dark Knight,2008-07-14,9,tt0468569,N
Schindler's List,1993-11-30,8.9,tt0108052,L
