Title,Released,imdbRating,imdbID,Downloaded?
His Girl Friday,1940-01-18,7.9,tt0032599,YT
The Philadelphia Story,1940-12-26,7.9,tt0032904,Y
The Grapes of Wrath,1940-01-24,8.1,tt0032551,Y
The Mortal Storm,1940-06-14,7.8,tt0032811,Y
The Bank Dick,1940-11-29,7.2,tt0032234,Y
"Dance, Girl, Dance",1940-08-30,6.8,tt0032376,Y
Sergeant York,1941-07-02,7.7,tt0034167,Y
The Lady Eve,1941-02-25,7.8,tt0033804,Y
The Wolf Man,1941-12-12,7.3,tt0034398,Y
High Sierra,1941-01-23,7.5,tt0033717,Y
How Green Was My Valley,1941-10-28,7.7,tt0033729,Y
Sullivan's Travels,1941-12-29,7.9,tt0034240,Y
The Palm Beach Story,1942-12-10,7.5,tt0035169,YT
"Now, Voyager",1942-10-22,7.9,tt0035140,Y
To Be or Not to Be,1942-02-19,8.2,tt0035446,L
The Magnificent Ambersons,1942-07-10,7.7,tt0035015,Y
Yankee Doodle Dandy,1942-05-29,7.7,tt0035575,Y
Mrs. Miniver,1942-06-04,7.6,tt0035093,Y
Cat People,1942-12-05,7.3,tt0034587,Y
Fires Were Started,1943-04-12,6.5,tt0035881,Y
The Ox-Bow Incident,1943-05-08,8,tt0036244,YT
The Life and Death of Colonel Blimp,1943-06-10,8.1,tt0036112,YT
Meshes of the Afternoon,1943-01-01,7.9,tt0036154,YT
The Seventh Victim,1943-08-21,6.8,tt0036341,Y
The Man in Grey,1943-08-23,6.6,tt0036135,YT
Shadow of a Doubt,1943-01-12,7.8,tt0036342,L
Ossessione,1943-05-16,7.6,tt0035160,YT
I Walked with a Zombie,1943-04-21,7.1,tt0036027,Y
Laura,1944-10-11,8,tt0037008,Y
Meet Me in St. Louis,1944-11-22,7.6,tt0037059,Y
Gaslight,1944-05-04,7.8,tt0036855,Y
The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France,1944-11-22,7.1,tt0036910,YT
Double Indemnity,1944-07-03,8.3,tt0036775,Y
"Murder, My Sweet",1944-12-09,7.6,tt0037101,Y
Ivan Groznyy,1944-12-30,7.8,tt0037824,Y
Ivan Groznyy. Skaz vtoroy: Boyarskiy zagovor,1958-01-01,7.9,tt0051790,L
Mildred Pierce,1945-09-28,8,tt0037913,Y
Detour,1945-11-15,7.4,tt0037638,Y
I Know Where I'm Going!,1945-11-16,7.5,tt0037800,YT
The Lost Weekend,1945-11-29,7.9,tt0037884,Y
Les enfants du paradis,1945-03-09,8.4,tt0037674,Y
San Pietro,1945-05-03,6.6,tt0036630,YT
Brief Encounter,1945-11-13,8,tt0037558,YT
Spellbound,1945-10-31,7.5,tt0038109,YT
The Best Years of Our Lives,1946-11-21,8.1,tt0036868,Y
Paisà,1946-12-10,7.6,tt0038823,YT
The Postman Always Rings Twice,1946-05-02,7.4,tt0038854,Y
La belle et la bête,1946-10-29,7.9,tt0038348,Y
The Killers,1946-08-30,7.8,tt0038669,YT
The Big Sleep,1946-08-23,7.9,tt0038355,Y
Gilda,1946-03-14,7.6,tt0038559,Y
A Matter of Life and Death,1946-11-01,8,tt0038733,YT
Great Expectations,1946-12-16,7.8,tt0038574,Y
My Darling Clementine,1946-12-03,7.7,tt0038762,Y
Notorious,1946-09-06,7.9,tt0038787,YT
Black Narcissus,1947-05-04,7.8,tt0039192,YT
The Stranger,1946-07-02,7.3,tt0038991,YT
Out of the Past,1947-11-25,8,tt0039689,Y
Monsieur Verdoux,1947-04-11,7.8,tt0039631,YT
Odd Man Out,1947-01-31,7.7,tt0039677,YT
The Ghost and Mrs. Muir,1947-06-26,7.8,tt0039420,Y
Letter from an Unknown Woman,1948-04-28,7.9,tt0040536,Y
Secret Beyond the Door...,1947-12-24,6.7,tt0040766,L
Force of Evil,1948-12-25,7.2,tt0040366,YT
Xiao cheng zhi chun,1948-01-01,7.4,tt0189219,YT
Red River,1948-08-26,7.8,tt0040724,YT
The Paleface,1948-12-24,6.7,tt0040679,YT
The Snake Pit,1948-11-13,7.6,tt0040806,Y
The Lady from Shanghai,1947-12-24,7.5,tt0040525,YT
Rope,1948-08-26,7.9,tt0040746,Y
The Red Shoes,1948-09-06,8.1,tt0040725,YT
Louisiana Story,1948-09-28,6.6,tt0040550,YT
Gun Crazy,1950-01-20,7.6,tt0042530,Y
The Reckless Moment,1949-12-29,7.1,tt0041786,YT
White Heat,1949-09-02,8.1,tt0042041,Y
Adam's Rib,1949-11-18,7.5,tt0041090,Y
The Heiress,1949-10-06,8.1,tt0041452,Y
Kind Hearts and Coronets,1949-06-13,8,tt0041546,Y
Whisky Galore!,1949-06-16,7.2,tt0042040,L
On the Town,1949-12-08,7.3,tt0041716,L
Orphée,1950-09-29,7.9,tt0041719,YT
The Asphalt Jungle,1950-05-12,7.8,tt0042208,Y
Rashômon,1950-08-25,8.2,tt0042876,Y
Winchester '73,1950-07-12,7.6,tt0043137,Y
Rio Grande,1950-11-15,7,tt0042895,Y
Los olvidados,1950-12-09,8.3,tt0042804,
In a Lonely Place,1950-08-01,7.9,tt0042593,
Ace in the Hole,1951-06-14,8.1,tt0043338,L
An American in Paris,1951-10-04,7.2,tt0043278,
Pandora and the Flying Dutchman,1951-02-01,6.9,tt0043899,
The African Queen,1951-12-26,7.7,tt0043265,
A Place in the Sun,1951-04-05,7.7,tt0043924,
The Lavender Hill Mob,1951-06-28,7.5,tt0044829,L
Journal d'un curé de campagne,1951-02-07,7.8,tt0042619,
The Day the Earth Stood Still,1951-09-18,7.8,tt0043456,
The Quiet Man,1952-06-06,7.7,tt0045061,
Jeux interdits,1952-05-09,8,tt0043686,
Europa '51,1952-12-04,7.4,tt0043511,
The Bad and the Beautiful,1952-12-25,7.8,tt0044391,
Ikiru,1952-10-09,8.3,tt0044741,
Umberto D.,1952-01-20,8.2,tt0045274,YT
Le carrosse d'or,1952-12-03,7,tt0044487,YT
Angel Face,1953-02-04,7.2,tt0044357,
The Big Sky,1952-07-29,6.9,tt0044419,L
Sommaren med Monika,1953-02-09,7.5,tt0046345,
Pickup on South Street,1953-05-27,7.6,tt0046187,YT
The Band Wagon,1953-08-07,7.4,tt0045537,
Madame de...,1953-09-16,7.9,tt0046022,
Le salaire de la peur,1953-04-22,8.2,tt0046268,
The Bigamist,1953-12-03,6.8,tt0045557,YT
The Naked Spur,1953-02-01,7.3,tt0044953,
Tôkyô monogatari,1953-11-03,8.2,tt0046438,
Ugetsu monogatari,1953-03-26,8.2,tt0046478,YT
Viaggio in Italia,1954-09-07,7.3,tt0046511,
Roman Holiday,1953-08-27,8,tt0046250,
The Big Heat,1953-10-14,7.9,tt0045555,
Beat the Devil,1953-03-12,6.4,tt0046414,YT
On the Waterfront,1954-07-28,8.1,tt0047296,
La strada,1954-09-06,8,tt0047528,
Les diaboliques,1955-01-29,8.1,tt0046911,
A Star Is Born,1954-09-29,7.5,tt0047522,
Senso,1954-12-30,7.4,tt0047469,
Silver Lode,1954-06-24,6.9,tt0047495,YT
The Barefoot Contessa,1954-09-29,6.9,tt0046754,
Sanshô dayû,1954-03-31,8.4,tt0047445,YT
Carmen Jones,1954-10-28,6.7,tt0046828,
Johnny Guitar,1954-05-07,7.6,tt0047136,
Salt of the Earth,1954-03-14,7.4,tt0047443,YT
Seven Brides for Seven Brothers,1954-07-15,7.3,tt0047472,
Lola Montès,1955-12-23,7.3,tt0048308,
Pather Panchali,1955-08-26,8.3,tt0048473,
Ordet,1955-01-10,8.3,tt0048452,
Marty,1955-04-11,7.7,tt0048356,
Artists and Models,1955-11-07,6.5,tt0047840,
Les maîtres fous,1955-08-01,6.6,tt0048363,
Giv'a 24 Eina Ona,1955-11-02,5.9,tt0048121,
Bad Day at Black Rock,1955-01-07,7.7,tt0047849,
Nuit et brouillard,1956-01-01,8.6,tt0048434,
The Phenix City Story,1955-08-14,7.2,tt0048488,
The Man with the Golden Arm,1955-12-15,7.3,tt0048347,YT
Kiss Me Deadly,1955-05-18,7.5,tt0048261,
Guys and Dolls,1955-11-03,7.1,tt0048140,
The Ladykillers,1955-12-08,7.6,tt0048281,
Oklahoma!,1955-10-11,7,tt0048445,
Sommarnattens leende,1955-12-26,7.7,tt0048641,
Bob le flambeur,1956-08-24,7.6,tt0047892,
All That Heaven Allows,1955-08-25,7.6,tt0047811,
The Man from Laramie,1955-08-31,7.3,tt0048342,
Biruma no tategoto,1956-01-21,8,tt0049012,
Forbidden Planet,1956-03-03,7.5,tt0049223,
Written on the Wind,1956-10-05,7.4,tt0049966,
Un condamné à mort s'est échappé ou Le vent souffle où il veut,1956-11-11,8.3,tt0049902,
Bigger Than Life,1956-08-02,7.5,tt0049010,
Invasion of the Body Snatchers,1956-02-05,7.7,tt0049366,
Giant,1956-10-10,7.6,tt0049261,
High Society,1956-07-17,6.9,tt0049314,
Kumonosu-jô,1957-01-15,8.1,tt0050613,
Smultronstället,1957-12-26,8.1,tt0050986,
The Incredible Shrinking Man,1957-02-22,7.6,tt0050539,
Gunfight at the O.K. Corral,1957-05-29,7.2,tt0050468,
Le notti di Cabiria,1957-05-10,8.1,tt0050783,
Letyat zhuravli,1957-10-12,8.3,tt0050634,
Aparajito,1956-10-11,8.3,tt0048956,
Sweet Smell of Success,1957-06-27,8,tt0051036,
Mother India,1957-10-25,7.8,tt0050188,
Gigi,1958-05-15,6.7,tt0051658,
The Defiant Ones,1958-06-29,7.6,tt0051525,
Man of the West,1958-10-01,7.1,tt0051899,
Popiól i diament,1958-10-03,7.8,tt0052080,YT
Bab el hadid,1958-07-01,7.5,tt0051390,
Jalsaghar,1958-10-10,7.9,tt0051792,
Some Came Running,1958-12-18,7.3,tt0052218,
Dracula (1958),1958-05-07,7.3,tt0051554,
Les quatre cents coups,1959-05-04,8.1,tt0053198,
Pickpocket,1959-12-16,7.6,tt0053168,
Ride Lonesome,1959-02-15,7.1,tt0053220,YT
Orfeu Negro,1959-06-12,7.4,tt0053146,YT
Anatomy of a Murder,1959-07-02,8,tt0052561,
Shadows,1959-11-11,7.2,tt0053270,L
Apur Sansar,1959-05-01,8.5,tt0052572,
Rio Bravo,1959-04-04,8,tt0053221,
Ukikusa,1959-11-17,8,tt0053390,YT
Les yeux sans visage,1960-03-02,7.6,tt0053459,
Saturday Night and Sunday Morning,1960-10-27,7.5,tt0054269,
Le trou,1960-03-18,8.5,tt0054407,
Rocco e i suoi fratelli,1960-09-06,8.2,tt0054248,
