Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
A Beautiful Day,2013-06-30,8,1,8.6,tt2577702,Dexter,Y
Every Silver Lining...,2013-07-07,8,2,8.1,tt2578758,Dexter,Y
What's Eating Dexter Morgan?,2013-07-14,8,3,8.1,tt2578760,Dexter,Y
Scar Tissue,2013-07-21,8,4,8.1,tt2578762,Dexter,Y
This Little Piggy,2013-07-28,8,5,7.9,tt2578764,Dexter,Y
A Little Reflection,2013-08-04,8,6,7.8,tt2578770,Dexter,Y
Dress Code,2013-08-11,8,7,7.6,tt2578776,Dexter,Y
Are We There Yet?,2013-08-18,8,8,8.1,tt2578778,Dexter,Y
Make Your Own Kind of Music,2013-08-25,8,9,7.4,tt2578782,Dexter,Y
Goodbye Miami,2013-09-08,8,10,6.9,tt2578788,Dexter,Y
Monkey in a Box,2013-09-15,8,11,7.2,tt2578790,Dexter,Y
Remember the Monsters?,2013-09-22,8,12,4.6,tt2578802,Dexter,Y
