Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Brave New World: Part 2,2012-05-11,4,22,8.8,tt2208531,Fringe,Y
Transilience Thought Unifier Model-11,2012-09-28,5,1,8.3,tt2383819,Fringe,Y
In Absentia,2012-10-05,5,2,8.3,tt2222882,Fringe,Y
The Recordist,2012-10-12,5,3,8,tt2352398,Fringe,Y
The Bullet That Saved the World,2012-10-26,5,4,8.8,tt2385734,Fringe,Y
An Origin Story,2012-11-02,5,5,8.6,tt2385736,Fringe,Y
Through the Looking Glass and What Walter Found There,2012-11-09,5,6,8.8,tt2385738,Fringe,Y
Five-Twenty-Ten,2012-11-16,5,7,8.7,tt2411938,Fringe,Y
The Human Kind,2012-12-07,5,8,8.4,tt2411942,Fringe,Y
Black Blotter,2012-12-14,5,9,8.4,tt2411940,Fringe,Y
Anomaly XB-6783746,2012-12-21,5,10,9,tt2411944,Fringe,Y
The Boy Must Live,2013-01-11,5,11,8.8,tt2411948,Fringe,Y
Liberty,2013-01-18,5,12,9.1,tt2411946,Fringe,Y
An Enemy of Fate,2013-01-18,5,13,9.4,tt2411954,Fringe,Y
